,Damage,Pressure,StormName,WindSpeed,Year,Category,YearsInflation,day,month,Date,CPIAUCNS,CPI_Multiplier,AdjustedDamage
0,0,910,"""Cuba""",165,1924,Category 5,1924,1,1,1924-01-01,17.3,14.59184971098266,0.0
1,100000000,929,"""San Felipe IIOkeechobee""",160,1928,Category 5,1928,1,1,1928-01-01,17.3,14.59184971098266,1459184971.098266
2,0,921,"""Bahamas""",160,1932,Category 5,1932,1,1,1932-01-01,14.3,17.653076923076924,0.0
3,40000000,915,"""Cuba""",175,1932,Category 5,1932,1,1,1932-01-01,14.3,17.653076923076924,706123076.923077
4,27000000,930,"""Cuba–Brownsville""",160,1933,Category 5,1933,1,1,1933-01-01,12.9,19.56891472868217,528360697.67441857
5,5000000,929,"""Tampico""",160,1933,Category 5,1933,1,1,1933-01-01,12.9,19.56891472868217,97844573.64341085
6,0,892,"""Labor Day""",185,1935,Category 5,1935,1,1,1935-01-01,13.6,18.56169117647059,0.0
7,306000000,940,"""New England""",160,1938,Category 5,1938,1,1,1938-01-01,14.2,17.777394366197186,5439882676.056339
8,2000000,929,Carol,160,1953,Category 5,1953,1,1,1953-01-01,26.6,9.490187969924813,18980375.939849626
9,65000000,967,Janet,175,1955,Category 5,1955,1,1,1955-01-01,26.7,9.454644194756556,614551872.6591761
10,326000000,931,Carla,175,1961,Category 5,1961,1,1,1961-01-01,29.8,8.471107382550336,2761581006.7114096
11,60000000,920,Hattie,160,1961,Category 5,1961,1,1,1961-01-01,29.8,8.471107382550336,508266442.95302016
12,208000000,923,Beulah,160,1967,Category 5,1967,1,1,1967-01-01,32.9,7.6729179331307,1595966930.0911856
13,12000000000,900,Camille,175,1969,Category 5,1969,1,1,1969-01-01,35.6,7.090983146067416,85091797752.80899
14,25000000,943,Edith,160,1971,Category 5,1971,1,1,1971-01-01,39.8,6.342688442211056,158567211.0552764
15,0,926,Anita,175,1977,Category 5,1977,1,1,1977-01-01,58.5,4.315196581196582,0.0
16,14000000000,924,David,175,1979,Category 5,1979,1,1,1979-01-01,68.3,3.696032210834554,51744450951.683754
17,14000000000,952,Allen,190,1980,Category 5,1980,1,1,1980-01-01,77.8,3.244717223650386,45426041131.1054
18,7000000000,888,Gilbert,185,1988,Category 5,1988,1,1,1988-01-01,115.7,2.1818409680207433,15272886776.145203
19,10000000000,918,Hugo,160,1989,Category 5,1989,1,1,1989-01-01,121.1,2.0845499587118086,20845499587.118088
20,26000000000,940,Andrew,175,1992,Category 5,1992,1,1,1992-01-01,138.1,1.8279435191889937,47526531498.91383
21,6000000000,905,Mitch,180,1998,Category 5,1998,1,1,1998-01-01,161.6,1.5621225247524755,9372735148.514853
22,57000000000,947,Isabel,165,2003,Category 5,2003,1,1,2003-01-01,181.7,1.3893175564116678,79191100715.46506
23,23000000000,955,Ivan,165,2004,Category 5,2004,1,1,2004-01-01,185.2,1.3630615550755942,31350415766.738667
24,11000000000,945,Emily,160,2005,Category 5,2005,1,1,2005-01-01,190.7,1.3237493445201889,14561242789.722078
25,125000000000,941,Katrina,175,2005,Category 5,2005,1,1,2005-01-01,190.7,1.3237493445201889,165468668065.02362
26,12000000000,895,Rita,180,2005,Category 5,2005,1,1,2005-01-01,190.7,1.3237493445201889,15884992134.242266
27,29000000000,882,Wilma,185,2005,Category 5,2005,1,1,2005-01-01,190.7,1.3237493445201889,38388730991.08548
28,16000000000,905,Dean,175,2007,Category 5,2007,1,1,2007-01-01,202.416,1.2471296735435935,19954074776.697495
29,720000000,0,Felix,175,2007,Category 5,2007,1,1,2007-01-01,202.416,1.2471296735435935,897933364.9513873
30,15000000000,933,Matthew,165,2016,Category 5,2016,1,1,2016-01-01,236.916,1.0655211129683095,15982816694.524643
31,0,914,Irma,180,2017,Category 5,2017,1,1,2017-01-01,242.83900000000003,1.0395323650649195,0.0
32,0,908,Maria,175,2017,Category 5,2017,1,1,2017-01-01,242.83900000000003,1.0395323650649195,0.0
33,250000000,948,Hurricane Iris,145,2001,Category 4,2001,1,1,2001-01-01,175.1,1.4416847515705313,360421187.89263284
34,23000000000,933,Hurricane Michelle,140,2001,Category 4,2001,1,1,2001-01-01,175.1,1.4416847515705313,33158749286.12222
35,16000000000,938,Hurricane Lili,145,2002,Category 4,2002,1,1,2002-01-01,177.1,1.4254037267080748,22806459627.329197
36,300000000,939,Hurricane Fabian,145,2003,Category 4,2003,1,1,2003-01-01,181.7,1.3893175564116678,416795266.92350036
37,16000000000,941,Hurricane Charley,150,2004,Category 4,2004,1,1,2004-01-01,185.2,1.3630615550755942,21808984881.209507
38,10000000000,935,Hurricane Frances,145,2004,Category 4,2004,1,1,2004-01-01,185.2,1.3630615550755942,13630615550.755941
39,0,938,Hurricane Karl,145,2004,Category 4,2004,1,1,2004-01-01,185.2,1.3630615550755942,0.0
40,38000000000,930,Hurricane Dennis,150,2005,Category 4,2005,1,1,2005-01-01,190.7,1.3237493445201889,50302475091.76718
41,81000000000,941,Hurricane Gustav,155,2008,Category 4,2008,1,1,2008-01-01,211.08,1.1959399279893879,96871134167.14041
42,38000000000,935,Hurricane Ike,145,2008,Category 4,2008,1,1,2008-01-01,211.08,1.1959399279893879,45445717263.59674
43,80000000,967,Hurricane Omar,130,2008,Category 4,2008,1,1,2008-01-01,211.08,1.1959399279893879,95675194.23915103
44,454000000,944,Hurricane Paloma,145,2008,Category 4,2008,1,1,2008-01-01,211.08,1.1959399279893879,542956727.3071821
45,46000000,943,Hurricane Bill,130,2009,Category 4,2009,1,1,2009-01-01,211.143,1.1955830882387766,54996822.05898372
46,0,942,Hurricane Danielle,130,2010,Category 4,2010,1,1,2010-01-01,216.687,1.1649937467406906,0.0
47,45000000,927,Hurricane Earl,145,2010,Category 4,2010,1,1,2010-01-01,216.687,1.1649937467406906,52424718.603331074
48,200000000,924,Hurricane Igor,155,2010,Category 4,2010,1,1,2010-01-01,216.687,1.1649937467406906,232998749.34813812
49,0,948,Hurricane Julia,140,2010,Category 4,2010,1,1,2010-01-01,216.687,1.1649937467406906,0.0
50,157000000,942,Hurricane Katia,140,2011,Category 4,2011,1,1,2011-01-01,220.22299999999998,1.1462880807181812,179967228.67275447
51,0,952,Hurricane Ophelia,140,2011,Category 4,2011,1,1,2011-01-01,220.22299999999998,1.1462880807181812,0.0
52,316000000,940,Hurricane Gonzalo,145,2014,Category 4,2014,1,1,2014-01-01,233.916,1.079186545597565,341022948.4088306
53,200000000,931,Hurricane Joaquin,155,2015,Category 4,2015,1,1,2015-01-01,233.707,1.0801516428690627,216030328.57381254
54,15000000,940,Hurricane Nicole,140,2016,Category 4,2016,1,1,2016-01-01,236.916,1.0655211129683095,15982816.694524644
55,125000000000,937,Hurricane Harvey,130,2017,Category 4,2017,1,1,2017-01-01,242.83900000000003,1.0395323650649195,129941545633.11494
56,24000000,947,Hurricane Jose,155,2017,Category 4,2017,1,1,2017-01-01,242.83900000000003,1.0395323650649195,24948776.761558067
57,16000000000,955,Hurricane Florence,140,2018,Category 4,2018,1,1,2018-01-01,247.86700000000002,1.0184453759475849,16295126015.161358
58,118000000000,945,Hurricane Michael,155,2018,Category 4,2018,1,1,2018-01-01,247.86700000000002,1.0184453759475849,120176554361.81502
59,15000000,924,1910 Cuba hurricane,150,1910,Category 4,1910,1,1,1910-01-01,9.8,25.75908163265306,386386224.4897959
60,50000000,940,1915 Galveston hurricane,145,1915,Category 4,1915,1,1,1915-01-01,10.1,24.993960396039608,1249698019.8019805
61,13000000,931,1915 New Orleans hurricane,145,1915,Category 4,1915,1,1,1915-01-01,10.1,24.993960396039608,324921485.1485149
62,28000000,932,1916 Texas hurricane,130,1916,Category 4,1916,1,1,1916-01-01,10.4,24.27298076923077,679643461.5384616
63,27000000,928,1917 Nueva Gerona hurricane,150,1917,Category 4,1917,1,1,1917-01-01,11.7,21.575982905982908,582551538.4615386
64,22000000,927,1919 Florida Keys hurricane,150,1919,Category 4,1919,1,1,1919-01-01,16.5,15.299333333333335,336585333.3333334
65,10000000,941,1921 Tampa Bay hurricane,140,1921,Category 4,1921,1,1,1921-01-01,19.0,13.286263157894737,132862631.57894737
66,75000000,967,1926 Nassau hurricane,140,1926,Category 4,1926,1,1,1926-01-01,17.9,14.1027374301676,1057705307.26257
67,100000000,930,1926 Miami hurricane,150,1926,Category 4,1926,1,1,1926-01-01,17.9,14.1027374301676,1410273743.01676
68,0,934,1926 Havana–Bermuda hurricane,150,1926,Category 4,1926,1,1,1926-01-01,17.9,14.1027374301676,0.0
